指标,单位,关税前平均值,关税前标准差,关税后平均值,关税后标准差,变化量,变化百分比(%),检验方法,p值,显著性
price,元/千克,4.05,0.43945252134732204,3.25,0.04242640687119275,-0.7999999999999998,-19.75308641975308,Mann-Whitney U 检验,0.0030307126997870283,显著
amount,千克,2091233874.392857,1677339625.8871388,968637375.75,748593455.2967048,-1122596498.642857,-53.68105941611996,Mann-Whitney U 检验,0.23047830923248053,不显著
CNY,人民币,8342031952.535714,6912586984.472542,3173664047.25,2476081848.356835,-5168367905.285714,-61.95574333318986,Mann-Whitney U 检验,0.16896551724137931,不显著
