指标,单位,关税前平均值,关税前标准差,关税后平均值,关税后标准差,变化量,变化百分比(%),检验方法,p值,显著性
price,元/千克,12.282500000000002,1.6138132894896278,13.199999999999998,2.2173678089121798,0.9174999999999951,7.46997761042129,独立样本 t-test,0.29545495779921765,不显著
amount,千克,24969.75,16179.79894189047,24439.666666666668,10967.072055323913,-530.0833333333321,-2.1229020448075455,独立样本 t-test,0.9420672410623787,不显著
CNY,人民币,299059.6875,190745.18665861315,322976.3333333333,151350.92021215684,23916.645833333314,7.997281757787336,独立样本 t-test,0.7861663255638576,不显著
